@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
instances/Sat_Data/LABS/LABS_n011_goal004.cnf,1,4.2277374,1.7099447,-0.0,14.380512,-0.0,1.3806366,13.125289,-0.0,-0.092411056,-0.0,15.851427,4.515012,-0.0008787428,-0.080199726,13.076508,11.507317
instances/Sat_Data/LABS/LABS_n011_goal010.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/LABS/LABS_n012_goal001.cnf,1,6.686508,2.7645345,-0.0,22.171242,-0.0,2.3654625,20.306646,-0.0,-0.021401636,-0.0,24.545086,6.8167224,-1.6369458e-07,-0.014309041,20.361488,17.879282
instances/Sat_Data/LABS/LABS_n013_goal002.cnf,1,7.4650297,3.076333,-0.0,24.781294,-0.0,2.710521,22.78488,-0.0,-0.010541977,-0.0,27.5466,7.6256127,-0.0,-0.0064297067,22.818424,20.067995
instances/Sat_Data/LABS/LABS_n015_goal008.cnf,1,7.5422225,3.0841184,-0.0,25.426739,-0.0,2.883645,23.606716,-0.0,-0.0072281356,-0.0,28.54799,7.9473395,-0.0,-0.0047350125,23.472904,20.762646
instances/Sat_Data/LABS/LABS_n018_goal001.cnf,1,8.032461,3.2936356,-0.0,26.751846,-0.0,2.9096165,24.59583,-0.0,-0.006271345,-0.0,29.67367,8.052619,-0.0,-0.0036701425,24.748861,21.74099
instances/Sat_Data/LABS/LABS_n019_goal002.cnf,1,6.190319,2.6311285,-0.0,18.503832,-0.0,1.342765,15.626997,-0.0,-0.06736556,-0.0,19.071367,4.859581,-2.0570124e-06,-0.06533541,16.96073,14.154845
instances/Sat_Data/LABS/LABS_n019_goal005.cnf,1,8.037466,3.2945416,-0.0,26.686886,-0.0,2.8861797,24.49021,-0.0,-0.006791413,-0.0,29.548128,8.026553,-0.0,-0.003712852,24.662624,21.642508
instances/Sat_Data/LABS/LABS_n019_goal006.cnf,1,8.079308,3.315316,-0.0,26.636616,-0.0,2.8431242,24.343758,-0.0,-0.0074681365,-0.0,29.383,7.974481,-0.0,-0.003890772,24.586922,21.522226
instances/Sat_Data/LABS/LABS_n020_goal002.cnf,1,4.6633167,1.9848725,-0.0,12.359384,-0.0,0.4103079,9.23302,-9.207713e-06,-0.114677675,-0.00011647852,11.782353,2.683192,-0.0006486201,-0.1657364,11.515841,8.908697
instances/Sat_Data/LABS/LABS_n020_goal005.cnf,1,7.617671,3.1229813,-0.0,25.392262,-0.0,2.7388244,23.312384,-0.0,-0.008810938,-0.0,28.146965,7.6114945,-0.0,-0.0060708583,23.515575,20.638891
instances/Sat_Data/LABS/LABS_n020_goal008.cnf,1,8.654798,3.4833999,-0.0,29.81,-0.0,3.5369856,28.029337,-0.0,-0.0013604676,-0.0,33.845444,9.344007,-0.0,-0.0007779159,27.703121,24.661188
instances/Sat_Data/LABS/LABS_n021_goal001.cnf,1,18.803183,9.521123,-0.0,6.406848,-0.0,-2.5479483e-05,1.0863566,-0.00093539595,-0.0,11.013181,-0.0036977283,7.466404,-0.0,7.2660465,19.147821,8.33437
instances/Sat_Data/LABS/LABS_n021_goal009.cnf,1,5.99592,2.5642498,-0.0,17.387865,-0.0,1.0923084,14.301452,-0.0,-0.086905845,-0.0,17.552929,4.399508,-4.812119e-06,-0.08451019,15.87594,13.0420475
instances/Sat_Data/LABS/LABS_n022_goal002.cnf,1,16.099611,8.28852,-0.0,5.712876,-0.0,-0.00021740001,0.7920998,-0.004214391,-0.0,9.469577,-0.0096845655,6.428603,-0.0,6.1094804,16.422707,6.9579597
instances/Sat_Data/LABS/LABS_n022_goal008.cnf,1,4.6063867,1.9320865,-0.0,12.29045,-0.0,0.40838057,9.241198,-1.1035337e-05,-0.1261538,-0.00010459197,11.748594,2.6897154,-0.00067397195,-0.16491936,11.393885,8.842302
instances/Sat_Data/LABS/LABS_n023_goal001.cnf,1,30.038277,15.007599,-0.0,9.873218,-0.0,-0.0,2.1892982,-1.6011684e-07,-0.0,17.417137,-4.6773685e-06,11.803647,-0.0,11.734719,30.41951,13.658937
instances/Sat_Data/LABS/LABS_n023_goal008.cnf,1,7.327675,3.770784,-1.9117263e-06,6.117172,-0.0,-0.07622328,1.1952015,-0.01758872,-0.0117349,2.511703,1.8951734,2.0278971,-9.341962e-06,1.5602018,9.272522,4.0587883
instances/Sat_Data/LABS/LABS_n024_goal007.cnf,1,15.547741,8.056393,-0.0,5.660802,-0.0,-0.00028162767,0.70469373,-0.0055169095,-0.0,9.126745,-0.011609359,6.189662,-0.0,5.832636,15.868393,6.6132236
instances/Sat_Data/LABS/LABS_n025_goal009.cnf,1,17.66429,9.052579,-0.0,6.2260547,-0.0,-5.56013e-05,0.93943787,-0.0019092615,-0.0,10.344358,-0.0050747944,7.0189147,-0.0,6.7230005,17.975708,7.6649756
instances/Sat_Data/LABS/LABS_n025_goal010.cnf,1,13.932732,7.2706366,-0.0,5.2489586,-0.0,-0.0008032358,0.51919913,-0.010785849,-3.1552392e-07,8.177585,-0.02291231,5.5237856,-0.0,5.1571436,14.281958,5.799768
instances/Sat_Data/LABS/LABS_n026_goal001.cnf,1,56.914978,28.2399,-0.0,18.504343,-0.0,-0.0,4.4794044,-0.0,-0.0,32.733505,-0.0,22.216364,-0.0,22.274912,57.569656,26.082472
instances/Sat_Data/LABS/LABS_n026_goal004.cnf,1,45.30144,22.546335,-0.0,14.731761,-0.0,-0.0,3.4957747,-0.0,-0.0,26.127832,-0.0,17.726965,-0.0,17.734224,45.837875,20.72666
instances/Sat_Data/LABS/LABS_n026_goal010.cnf,1,20.500011,10.45878,-0.0,7.1171117,-0.0,-3.8585536e-06,1.2029396,-0.00038732548,-0.0,11.949966,-0.0012685063,8.111295,-0.0,7.8366833,20.809011,8.973742
instances/Sat_Data/LABS/LABS_n027_goal001.cnf,1,66.400055,32.904716,-0.0,21.583889,-0.0,-0.0,5.273864,-0.0,-0.0,38.128666,-0.0,25.87781,-0.0,25.981623,67.15823,30.455215
instances/Sat_Data/LABS/LABS_n028_goal002.cnf,1,71.13133,35.271275,-0.0,23.100449,-0.0,-0.0,5.6554904,-0.0,-0.0,40.827206,-0.0,27.713354,-0.0,27.821539,71.927124,32.62392
instances/Sat_Data/LABS/LABS_n029_goal006.cnf,1,67.79077,33.613,-0.0,21.974562,-0.0,-0.0,5.378198,-0.0,-0.0,38.941578,-0.0,26.433084,-0.0,26.537731,68.56651,31.108337
instances/Sat_Data/LABS/LABS_n030_goal003.cnf,1,90.56119,44.86138,-0.0,29.404385,-0.0,-0.0,7.263761,-0.0,-0.0,51.87601,-0.0,35.213814,-0.0,35.402027,91.562515,41.562485
instances/Sat_Data/LABS/LABS_n030_goal008.cnf,1,61.80869,30.750082,-0.0,20.041843,-0.0,-0.0,4.850714,-0.0,-0.0,35.533188,-0.0,24.126192,-0.0,24.17147,62.499626,28.30797
