@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/LABS/LABS_n011_goal004.cnf,1.0,0.0,0.0,0.0,0.01,2.13,2.42,2.0,0.2481302450014482
instances/Sat_Data/LABS/LABS_n011_goal010.cnf,1.0,0.0,0.0,0.0,0.01,2.12,2.37,2.0,0
instances/Sat_Data/LABS/LABS_n012_goal001.cnf,1.0,0.0,0.0,0.01,0.02,2.11,2.36,2.0,0.3086542659998486
instances/Sat_Data/LABS/LABS_n013_goal002.cnf,1.0,0.0,0.0,0.0,0.02,2.09,2.34,2.0,0.4303662769998482
instances/Sat_Data/LABS/LABS_n015_goal008.cnf,1.0,0.0,0.0,0.0,0.03,2.09,2.29,2.0,0.4693382240002393
instances/Sat_Data/LABS/LABS_n018_goal001.cnf,1.0,0.0,0.0,0.1,0.07,2.06,2.3,2.0,0.5835072599993509
instances/Sat_Data/LABS/LABS_n019_goal002.cnf,1.0,0.0,0.0,1.06,0.09,2.05,2.27,2.0,0.8812819400009175
instances/Sat_Data/LABS/LABS_n019_goal005.cnf,1.0,0.0,0.0,0.01,0.08,2.06,2.26,2.0,0.8377879950021452
instances/Sat_Data/LABS/LABS_n019_goal006.cnf,1.0,0.0,0.0,0.01,0.08,2.05,2.24,2.0,0.6373859149989585
instances/Sat_Data/LABS/LABS_n020_goal002.cnf,1.0,0.0,0.0,0.09,0.11,2.05,2.3,2.0,0.8985399559999792
instances/Sat_Data/LABS/LABS_n020_goal005.cnf,1.0,0.0,0.0,0.01,0.1,2.05,2.27,2.0,0.809149480999622
instances/Sat_Data/LABS/LABS_n020_goal008.cnf,1.0,0.0,0.0,0.01,0.09,2.04,2.28,2.0,0.6967520930002138
instances/Sat_Data/LABS/LABS_n021_goal001.cnf,1.0,0.0,0.0,0.38,0.13,2.05,2.26,2.0,1.2505640870003845
instances/Sat_Data/LABS/LABS_n021_goal009.cnf,1.0,0.0,0.0,0.01,0.1,2.04,2.23,2.0,0.9045072429998982
instances/Sat_Data/LABS/LABS_n022_goal002.cnf,1.0,0.01,0.0,1.99,0.13,2.06,2.26,2.0,1.167242041999998
instances/Sat_Data/LABS/LABS_n022_goal008.cnf,1.0,0.0,0.01,0.01,0.11,2.05,2.23,2.0,1.1495346540004905
instances/Sat_Data/LABS/LABS_n023_goal001.cnf,1.0,0.01,0.0,0.81,0.15,2.05,2.23,2.0,1.9138432549989373
instances/Sat_Data/LABS/LABS_n023_goal008.cnf,1.0,0.0,0.01,0.02,0.13,2.04,2.23,2.0,1.6150269610006944
instances/Sat_Data/LABS/LABS_n024_goal007.cnf,1.0,0.01,0.0,0.02,0.16,2.03,2.21,2.0,1.5388465910000375
instances/Sat_Data/LABS/LABS_n025_goal009.cnf,1.0,0.01,0.0,0.02,0.18,2.04,2.2,2.0,1.7693562950007615
instances/Sat_Data/LABS/LABS_n025_goal010.cnf,1.0,0.01,0.0,0.02,0.16,2.05,2.23,2.0,2.086339876001148
instances/Sat_Data/LABS/LABS_n026_goal001.cnf,1.0,0.01,0.0,1.99,0.23,2.04,2.23,2.0,2.9582151859976875
instances/Sat_Data/LABS/LABS_n026_goal004.cnf,1.0,0.01,0.0,0.03,0.22,2.04,2.24,2.0,2.4050379170003
instances/Sat_Data/LABS/LABS_n026_goal010.cnf,1.0,0.01,0.0,0.02,0.2,2.04,2.24,2.0,2.0573363439980312
instances/Sat_Data/LABS/LABS_n027_goal001.cnf,1.0,0.01,0.0,1.99,0.27,2.05,2.19,2.0,3.326871953999216
instances/Sat_Data/LABS/LABS_n028_goal002.cnf,1.0,0.01,0.01,1.99,0.29,2.03,2.21,2.0,3.43963504599742
instances/Sat_Data/LABS/LABS_n029_goal006.cnf,1.0,0.02,0.0,0.03,0.3,2.04,2.18,2.0,3.6567901070002335
instances/Sat_Data/LABS/LABS_n030_goal003.cnf,1.0,0.02,0.0,1.99,0.36,2.04,2.15,2.0,4.57487917799881
instances/Sat_Data/LABS/LABS_n030_goal008.cnf,1.0,0.02,0.0,0.04,0.33,2.04,2.17,2.0,4.706973914999253
instances/Sat_Data/LABS/LABS_n031_goal003.cnf,1.0,0.02,0.0,1.99,0.4,2.04,2.17,2.0,6.030011064
instances/Sat_Data/LABS/LABS_n031_goal010.cnf,1.0,0.02,0.0,0.05,0.35,2.04,2.14,2.0,4.5192882870001085
instances/Sat_Data/LABS/LABS_n032_goal001.cnf,1.0,0.02,0.01,1.99,0.43,2.05,2.12,2.0,6.058629322999877
instances/Sat_Data/LABS/LABS_n033_goal006.cnf,1.0,0.02,0.01,0.06,0.47,2.05,2.13,2.0,6.299113033001049
instances/Sat_Data/LABS/LABS_n034_goal003.cnf,1.0,0.03,0.0,1.99,0.52,2.04,2.09,2.0,7.810588262000238
instances/Sat_Data/LABS/LABS_n034_goal008.cnf,1.0,0.03,0.0,0.05,0.51,2.05,2.13,2.0,8.618952034999893
instances/Sat_Data/LABS/LABS_n035_goal001.cnf,1.0,0.03,0.01,2.0,0.57,2.04,2.1,2.0,8.370476141999461
instances/Sat_Data/LABS/LABS_n035_goal002.cnf,1.0,0.03,0.01,1.99,0.57,2.05,2.09,2.0,9.627047985999525
instances/Sat_Data/LABS/LABS_n036_goal003.cnf,1.0,0.04,0.0,2.0,0.62,2.04,2.09,2.0,10.289984097998968
instances/Sat_Data/LABS/LABS_n036_goal010.cnf,1.0,0.03,0.01,0.07,0.59,2.05,2.08,2.0,11.420324724999771
instances/Sat_Data/LABS/LABS_n038_goal001.cnf,1.0,0.04,0.01,2.0,0.73,2.04,2.08,2.0,13.004137316998822
instances/Sat_Data/LABS/LABS_n038_goal002.cnf,1.0,0.04,0.01,1.99,0.73,2.04,2.09,2.0,12.59027938899817
instances/Sat_Data/LABS/LABS_n038_goal008.cnf,1.0,0.04,0.01,0.08,0.71,2.05,2.09,2.0,14.807014529999831
instances/Sat_Data/LABS/LABS_n039_goal001.cnf,1.0,0.05,0.0,2.0,0.79,2.07,2.09,2.0,16.31715122500009
instances/Sat_Data/LABS/LABS_n040_goal006.cnf,1.0,0.05,0.01,0.11,0.84,2.06,2.1,2.0,17.960940011000275
instances/Sat_Data/LABS/LABS_n040_goal010.cnf,1.0,0.04,0.01,0.09,0.82,2.06,2.08,2.0,15.48140406099992
instances/Sat_Data/LABS/LABS_n042_goal002.cnf,1.0,0.06,0.0,1.99,0.99,2.07,2.09,2.0,19.114686991997587
instances/Sat_Data/LABS/LABS_n042_goal010.cnf,1.0,0.05,0.01,0.12,0.94,2.07,2.08,2.0,20.137689584000327
instances/Sat_Data/LABS/LABS_n043_goal001.cnf,1.0,0.06,0.01,2.0,1.05,2.08,2.09,2.0,20.82132661099968
instances/Sat_Data/LABS/LABS_n045_goal003.cnf,1.0,0.07,0.01,2.0,1.21,2.06,2.08,2.0,24.85728332600047
instances/Sat_Data/LABS/LABS_n045_goal005.cnf,1.0,0.07,0.01,2.0,1.2,2.07,2.09,2.0,23.77978389100008
instances/Sat_Data/LABS/LABS_n046_goal004.cnf,1.0,0.08,0.01,2.0,1.26,2.07,2.09,2.0,26.315525493999303
instances/Sat_Data/LABS/LABS_n047_goal009.cnf,1.0,0.08,0.01,0.17,1.33,2.07,2.08,2.0,26.68757215300002
instances/Sat_Data/LABS/LABS_n048_goal002.cnf,1.0,0.09,0.01,2.0,1.46,2.08,2.1,2.0,29.266887296998902
instances/Sat_Data/LABS/LABS_n049_goal003.cnf,1.0,0.09,0.01,2.0,1.55,2.11,2.09,2.0,30.88784406999912
instances/Sat_Data/LABS/LABS_n054_goal009.cnf,1.0,0.12,0.02,0.27,2.02,2.13,2.13,2.0,44.31733967899709
instances/Sat_Data/LABS/LABS_n055_goal004.cnf,1.0,0.13,0.02,2.0,2.17,2.14,2.12,2.0,47.14038900499872
instances/Sat_Data/LABS/LABS_n057_goal002.cnf,1.0,0.15,0.02,2.0,2.42,2.13,2.13,2.0,52.437547474000894
instances/Sat_Data/LABS/LABS_n057_goal007.cnf,1.0,0.14,0.03,2.0,2.41,2.13,2.13,2.01,50.56809164100014
instances/Sat_Data/LABS/LABS_n058_goal010.cnf,1.0,0.16,0.02,0.32,2.49,2.15,2.13,2.0,56.89739903500049
instances/Sat_Data/LABS/LABS_n061_goal001.cnf,1.0,0.2,0.02,2.0,2.57,2.16,2.16,2.01,64.96764716699909
instances/Sat_Data/LABS/LABS_n061_goal002.cnf,1.0,0.18,0.03,2.01,2.57,2.15,2.16,2.01,63.815653552002914
instances/Sat_Data/LABS/LABS_n062_goal009.cnf,1.0,0.19,0.02,0.47,2.53,2.15,2.16,2.02,65.2953277889992
instances/Sat_Data/LABS/LABS_n063_goal007.cnf,1.0,0.21,0.03,1.99,2.52,2.18,2.18,2.0,64.34398521300045
