@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1.0,0.14,0,0,0
sat/10-4-10.cnf.bz2,1.0,0.06,0,0,0
sat/1mod8.rules.7-7.cnf.bz2,1.0,0.06,0,0,0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0043632984161376,0.0015277862548828,0.0035707950592041
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0044398307800292,0.0015885829925537,0.0037131309509277
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0044391155242919,0.0016336441040039,0.0042757987976074
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0041978359222412,0.0035948753356933,0.0035240650177001
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.004840612411499,0.0016155242919921,0.0060839653015136
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0064918994903564,0.0015766620635986,0.0051519870758056
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0155098438262939,0.0018463134765625,0.0050957202911376
sat/20180321_140833987_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0046234130859375,0.0028600692749023,0.0038363933563232
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0062019824981689,0.0014967918395996,0.0035314559936523
sat/20180322_164224543_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0041718482971191,0.0014650821685791,0.0034713745117187
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.004227876663208,0.001471996307373,0.0035657882690429
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043256282806396,0.0027484893798828,0.0044882297515869
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0043115615844726,0.0016214847564697,0.0036659240722656
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043206214904785,0.0017542839050292,0.0035021305084228
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,1.0,0.14,0.0044999122619628,0.0015385150909423,0.003746747970581
sat/20180322_164245263_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0040788650512695,0.0014700889587402,0.0034923553466796
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043621063232421,0.0016601085662841,0.003713846206665
sat/20180326_095804286_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0041944980621337,0.0014989376068115,0.0035803318023681
sat/20180326_095804936_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0045061111450195,0.0034854412078857,0.0038003921508789
