@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
size_5_5_5_i019_r12.cnf,1,0.0079176425933837
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,0
170058440.cnf,1,0.0039513111114501
w19-5.1.cnf,1,0
vlsat2_32480_4362044.dimacs.cnf,1,0.3175477981567383
g2-hwmcc15deep-6s33-k34.cnf,1,0
vlsat2_30195_3855554.dimacs.cnf,1,0.2831015586853027
grain-53-80-0s0-seed-125-8-init-35.cnf,1,0
6g_6color_366_040_04.cnf,1,0.2046513557434082
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,0
ex051_9-sc2018.cnf,1,0
size_4_5_5_i037_w31_r9.cnf,1,0.0061697959899902
4g_5color_170_050_05.cnf,1,0.0424518585205078
DLTM_twitter454_70_12.cnf,1,0.0146093368530273
TT7F-34-25.cnf,1,0
TT7F-33-24B.cnf,1,0
course0.2_2018_3_5.cnf,1,0.9400300979614258
Timetable_C_241_E_34_Cl_16_S_12.cnf,1,0.2755072116851806
DLTM_twitter845_79_18.cnf,1,0.0426454544067382
ctl_4291_567_11_unsat.cnf,1,0.0324513912200927
logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,1,0
size_5_5_5_i059_r12.cnf,1,0.0062372684478759
newpol6-8.cnf,1,0
PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,1,0
170055892.cnf,1,0.0039598941802978
vlsat2_21114_2240429.dimacs.cnf,1,0.1406030654907226
schur-triples-7-60.cnf,1,0
6g_6color_366_050_04.cnf,1,0.2141532897949218
combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,1,0
gto_p60c241.cnf,1,0.0043754577636718
53-131220.cnf,1,0
ctl_4291_567_6_unsat_pre.cnf,1,0.0213871002197265
ncc_none_7047_6_3_3_0_0_420.cnf,1,61.451573848724365
ncc_none_5047_6_3_3_3_0_435991723.cnf,1,41.79538059234619
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,1,0
combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,1,0
4g_6color_182_100_02.cnf,1,1.4362082481384275
b2005-p2-14x14c17h9-Ser4-0.cnf,1,0
170105432.cnf,1,0.0058140754699707
baseballcover12with24_and2positions.cnf,1,0.0515205860137939
full-bf-ga-6-ce.cnf,1,0
LABS_n038_goal002.cnf,1,0.0222272872924804
velev-dlx-uns-1.0-05.cnf,1,0
VanDerWaerden_pd_2-3-26_635.cnf,1,0
Kittell-k7.cnf,1,0
dislog_a11_x11_n21.cnf,1,0.0131757259368896
w19-8.0.cnf,1,0
abw-Q-494_bus.mtx-w208.cnf,1,0
sted3_0x1e3-147.cnf,1,0
bv-term-small-rw_848.smt2.cnf,1,0
170059722.cnf,1,0.0042378902435302
fsf-300-354-2-2-3-2.23.opt.cnf,1,0
size_4_5_5_i003_w31_r9.cnf,1,0.0040483474731445
preimage_80r_490m_160h_seed_6.cnf,1,0.0609664916992187
gto_p50c314.cnf,1,0.0050287246704101
Steiner-27-10-bce.cnf,1,0
abw-V-nos6.mtx-w220.cnf,1,0
bv-term-small-rw_503.smt2.cnf,1,0
mrpp_8x8#16_12.cnf,1,0.0118029117584228
iffyInterleavedModMult-8.smt2.cnf,1,0
ps_300_312_20.cnf,1,3.735376119613648
01-integer-programming-5-10-100.cnf,1,0
schup-l2s-bc56s-1-k391.cnf,1,0
Kakuro-easy-126-ext.xml.hg_7.cnf,1,0
Timetable_C_466_E_50_Cl_31_S_28.cnf,1,1.2189762592315674
TT7F-33-24A.cnf,1,0
lang28.cnf.gz.CP3-cnfmiter.cnf,1,0
TT7F-34-27.cnf,1,0
bv-term-small-rw_1159.smt2.cnf,1,0
sted4_0x1e3-124.cnf,1,0
size_5_5_5_i260_r12.cnf,1,0.006465196609497
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,1,0
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1,0
60-129673.cnf,1,0
rbsat-v760c43649g8.cnf,1,0
w19-20.0.cnf,1,0
LABS_n071_goal001-sc2013.cnf,1,0
SAT_dat.k80.cnf,1,0.0328524112701416
Timetable_C_392_E_62_Cl_26_S_28.cnf,1,1.056938409805298
vlsat2_34161_4607712.dimacs.cnf,1,0.3531925678253174
w15.cnf,1,0.0102171897888183
ps_200_305_70.cnf,1,1.682024002075195
mulhs16.smt2.cnf,1,0.0071737766265869
TT7F-34-24D.cnf,1,0
Steiner-45-16-bce.cnf,1,0
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,1,0
Kakuro-easy-132-ext.xml.hg_9.cnf,1,0
DLTM_twitter799_70_12.cnf,1,0.021285057067871
combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,1,0
newpol6-6.cnf,1,0
preimage_80r_492m_160h_seed_136.cnf,1,0.0602619647979736
abw-X-can__715.mtx-w103.cnf,1,0
sgen4-unsat-89-1.cnf,1,0
preimage_80r_495m_160h_seed_379.cnf,1,0.0586297512054443
vlsat2_35929_5082743.dimacs.cnf,1,0.3852298259735107
size_5_5_5_i053_r12.cnf,1,0.0061593055725097
sted1_0x0-649.cnf,1,0
preimage_80r_490m_160h_seed_150.cnf,1,0.0608234405517578
newpol4-6.cnf,1,0
mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,1,0
Timetable_C_181_E_34_Cl_12_S_6.cnf,1,0.1545953750610351
combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,1,0
full-bg-gb-7-ce.cnf,1,0
Timetable_C_437_E_62_Cl_29_S_28.cnf,1,1.2206079959869385
ps_200_317_70.cnf,1,1.8660340309143064
Kakuro-easy-149-ext.xml.hg_4.cnf,1,0
size_4_5_5_i000_w31_r9.cnf,1,0.0053105354309082
battleship-24-47-sat.cnf,1,0
6g_5color_170_030_04.cnf,1,0.0300853252410888
baseballcover13with25_and1positions.cnf,1,0.0451536178588867
