@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1.0,0.14,0
sat/10-4-10.cnf.bz2,1.0,0.06,0
sat/1mod8.rules.7-7.cnf.bz2,1.0,0.06,0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0035707950592041
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0037131309509277
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0042757987976074
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0035240650177001
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0060839653015136
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0051519870758056
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0050957202911376
sat/20180321_140833987_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0038363933563232
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0035314559936523
sat/20180322_164224543_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0034713745117187
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0035657882690429
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0044882297515869
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0036659240722656
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0035021305084228
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,1.0,0.14,0.003746747970581
sat/20180322_164245263_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0034923553466796
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.003713846206665
sat/20180326_095804286_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0035803318023681
sat/20180326_095804936_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0038003921508789
