@RELATION SAT11-HAND-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1.0,0.01,2.0,2.0,0.19,60.01,0.03,0.9,2.06,0.0,2.09,0.0061659812927246,0.0024824142456054,0.0043048858642578
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1.0,0.02,1.99,2.0,0.27,62.83,0.12,0.9,2.08,0.01,2.06,0.0208358764648437,0.0098037719726562,0.0094456672668457
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1.0,0.01,2.0,2.0,0.87,60.02,0.08,1.73,2.07,0.01,2.07,0.0074727535247802,0.0024445056915283,0.0062818527221679
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1.0,0.07,1.99,2.02,2.01,60.01,0.54,2.47,2.1,0.01,2.1,0.0137662887573242,0.0095846652984619,0.0091497898101806
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1.0,0.0,1.99,1.84,0.0,0.0,0.0,0.01,2.57,0.0,1.47,0.0040562152862548,0.0023508071899414,0.0033154487609863
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1.0,0.01,1.99,2.0,0.94,60.83,0.13,1.23,2.1,0.0,2.07,0.0077543258666992,0.0023131370544433,0.0066840648651123
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1.0,0.0,1.99,2.0,0.01,0.36,0.0,0.05,2.31,0.0,2.24,0.0087275505065917,0.0014536380767822,0.0067112445831298
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1.0,0.0,2.0,1.73,0.0,0.03,0.0,0.0,1.46,0.0,0.93,0.0040609836578369,0.0014388561248779,0.0033414363861083
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1.0,0.01,2.0,2.0,1.14,60.01,0.17,1.61,2.09,0.0,2.08,0.0069873332977294,0.0024771690368652,0.0054523944854736
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1.0,0.01,2.0,2.0,0.21,60.02,0.03,0.99,2.09,0.0,2.05,0.0087635517120361,0.0026156902313232,0.0059764385223388
