@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-986-S67383539.cnf,1,8.64488,3.4978662,-0.0,28.89791,-0.0,3.2887995,26.739008,-0.0,-0.0020216121,-0.0,32.487045,8.864142,-0.0,-0.0015782772,26.87059,23.671787
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-845-S148864424.cnf,1,8.11194,3.3018973,-0.0,27.132961,-0.0,3.0649233,25.090662,-0.0,-0.003995099,-0.0,30.434376,8.358626,-0.0,-0.0029065998,25.151829,22.16651
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-589-S489789423.cnf,1,7.9143553,3.2296932,-0.0,26.39275,-0.0,2.9505594,24.34572,-0.0,-0.005329883,-0.0,29.52414,8.105947,-0.0,-0.0038357992,24.440134,21.510664
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-890-S637722797.cnf,1,7.926115,3.2302797,-0.0,26.510311,-0.0,2.984567,24.502012,-0.0,-0.004928824,-0.0,29.714684,8.170124,-0.0,-0.0036085336,24.558933,21.640858
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-521-S556521707.cnf,1,7.7353015,3.1632962,-0.0,25.760744,-0.0,2.8608544,23.730696,-0.0,-0.0067062443,-0.0,28.767723,7.9068556,-0.0,-0.0047718617,23.829576,20.960808
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-904-S160136050.cnf,1,7.6040425,3.1148536,-0.0,25.28953,-0.0,2.7916334,23.269005,-0.0,-0.008007069,-0.0,28.197727,7.758301,-0.0,-0.00560013,23.370403,20.546434
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-953-S592245209.cnf,1,8.154281,3.3152287,-0.0,27.28907,-0.0,3.0891762,25.244295,-0.0,-0.0037096746,-0.0,30.630333,8.407267,-0.0,-0.0027476617,25.309563,22.308117
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-485-S954086185.cnf,1,8.098621,3.2962794,-0.0,27.05573,-0.0,3.0481215,24.997673,-0.0,-0.0040999334,-0.0,30.33031,8.319259,-0.0,-0.0030304377,25.085056,22.094543
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-868-S52384790.cnf,1,7.755324,3.1766984,-0.0,25.758707,-0.0,2.844464,23.69292,-0.0,-0.0069734915,-0.0,28.716797,7.8872294,-0.0,-0.0048654634,23.815498,20.92998
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-703-S314898416.cnf,1,8.061184,3.2862015,-0.0,26.86868,-0.0,3.009147,24.786184,-0.0,-0.0045365966,-0.0,30.068039,8.242921,-0.0,-0.0032808406,24.896881,21.909443
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-614-S1284935773.cnf,1,8.333019,3.3805773,-0.0,27.890419,-0.0,3.1680293,25.811737,-0.0,-0.002941226,-0.0,31.33638,8.584106,-0.0,-0.002229316,25.894928,22.824167
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-119-S595537095.cnf,1,7.7716184,3.179606,-0.0,25.870413,-0.0,2.8713593,23.829,-0.0,-0.0065936767,-0.0,28.880562,7.939202,-0.0,-0.0046038115,23.925594,21.044422
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-269-S1783209885.cnf,1,8.359349,3.3918335,-0.0,27.952354,-0.0,3.1702008,25.854582,-0.0,-0.002924969,-0.0,31.38891,8.595134,-0.0,-0.0021865596,25.949585,22.864157
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-896-S1605993242.cnf,1,8.0184355,3.2717772,-0.0,26.746677,-0.0,2.997317,24.684347,-0.0,-0.0047542625,-0.0,29.932386,8.217193,-0.0,-0.0033882488,24.772587,21.808516
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-697-S1590116081.cnf,1,8.104811,3.2995179,-0.0,27.095661,-0.0,3.0571568,25.046824,-0.0,-0.0040622195,-0.0,30.382452,8.341664,-0.0,-0.0029549596,25.116478,22.130077
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-360-S1531090365.cnf,1,8.21126,3.3412673,-0.0,27.407022,-0.0,3.0874212,25.314396,-0.0,-0.003689598,-0.0,30.716948,8.417265,-0.0,-0.002690394,25.415592,22.379282
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-134-S440574157.cnf,1,7.975792,3.2543223,-0.0,26.611185,-0.0,2.9813972,24.560575,-0.0,-0.004948116,-0.0,29.782438,8.177688,-0.0,-0.0035481798,24.646101,21.698507
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-56-S441853154.cnf,1,7.3542266,3.0184212,-0.0,24.407885,-0.0,2.6668267,22.410927,-0.0,-0.010579735,-0.0,27.157045,7.4743958,-0.0,-0.00754703,22.5341,19.790548
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-290-S778859173.cnf,1,8.273838,3.3575983,-0.0,27.67975,-0.0,3.1388726,25.60571,-0.0,-0.0031746281,-0.0,31.087885,8.51673,-0.0,-0.0024117772,25.694918,22.642752
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-721-S652240344.cnf,1,6.7124796,2.7712035,-0.0,22.148865,-0.0,2.3393416,20.210684,-0.0,-0.021311142,-0.0,24.467745,6.7535853,-1.638637e-07,-0.015106091,20.368507,17.83706
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-231-S1697955241.cnf,1,8.344639,3.3842897,-0.0,27.940727,-0.0,3.1771157,25.865416,-0.0,-0.0028825111,-0.0,31.401037,8.604344,-0.0,-0.002176398,25.942085,22.869583
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-777-S900373011.cnf,1,6.6950636,2.7637036,-0.0,22.113829,-0.0,2.3409975,20.191048,-0.0,-0.021111393,-0.0,24.446856,6.748099,-1.633788e-07,-0.015236028,20.342728,17.820608
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-305-S193990361.cnf,1,6.7381372,2.782978,-0.0,22.216742,-0.0,2.3441434,20.2646,-0.0,-0.021088684,-0.0,24.53225,6.7687154,-1.6447709e-07,-0.014870611,20.429848,17.88599
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-991-S849346032.cnf,1,7.873047,3.216316,-0.0,26.227491,-0.0,2.9226713,24.174204,-0.0,-0.005743805,-0.0,29.310236,8.049152,-0.0,-0.0040720147,24.275032,21.356733
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-159-S884110265.cnf,1,7.9545727,3.2446795,-0.0,26.53567,-0.0,2.9712405,24.48604,-0.0,-0.005064365,-0.0,29.695803,8.153291,-0.0,-0.0036435134,24.576431,21.634487
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-309-S733913711.cnf,1,8.491634,3.440182,-0.0,28.416016,-0.0,3.2344136,26.303286,-0.0,-0.0024178703,-0.0,31.943615,8.737096,-0.0,-0.0018500537,26.401642,23.269154
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-865-S710593380.cnf,1,8.420437,3.413283,-0.0,28.175817,-0.0,3.2035284,26.076193,-0.0,-0.002644099,-0.0,31.664915,8.665833,-0.0,-0.0020171395,26.170757,23.064823
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-349-S236974198.cnf,1,8.072149,3.285793,-0.0,26.951532,-0.0,3.03085,24.888178,-0.0,-0.0042703426,-0.0,30.199085,8.279786,-0.0,-0.003154545,24.986923,22.000862
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-812-S1449029388.cnf,1,8.220035,3.342332,-0.0,27.464495,-0.0,3.1014223,25.38389,-0.0,-0.0035493264,-0.0,30.804472,8.442515,-0.0,-0.0026212528,25.476141,22.4407
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-300-S923800157.cnf,1,7.989874,3.2599473,-0.0,26.662504,-0.0,2.9887927,24.612103,-0.0,-0.0048659313,-0.0,29.843807,8.195327,-0.0,-0.0034822754,24.694027,21.742964
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-796-S717695655.cnf,1,8.321476,3.3792145,-0.0,27.830591,-0.0,3.1551135,25.744543,-0.0,-0.0030692073,-0.0,31.247894,8.562139,-0.0,-0.002282523,25.829182,22.761286
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-636-S1562674914.cnf,1,8.226167,3.3434784,-0.0,27.50477,-0.0,3.1115878,25.433477,-0.0,-0.003458164,-0.0,30.865984,8.462052,-0.0,-0.0025700382,25.5169,22.483057
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-972-S1776290313.cnf,1,8.31706,3.3727632,-0.0,27.832783,-0.0,3.1603038,25.753628,-0.0,-0.0029878358,-0.0,31.270962,8.564024,-0.0,-0.0022790716,25.843788,22.775993
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-15-S59587435.cnf,1,8.108318,3.2993262,-0.0,27.077116,-0.0,3.0488875,25.010048,-0.0,-0.0040818797,-0.0,30.348911,8.321751,-0.0,-0.0030087302,25.105856,22.108198
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-824-S355947733.cnf,1,8.132545,3.311235,-0.0,27.180681,-0.0,3.0661833,25.123272,-0.0,-0.003964259,-0.0,30.474777,8.364934,-0.0,-0.0028771432,25.196037,22.19865
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-834-S1599981506.cnf,1,7.672488,3.1414297,-0.0,25.53141,-0.0,2.826607,23.505035,-0.0,-0.0073022917,-0.0,28.488737,7.833069,-0.0,-0.005178372,23.60654,20.758963
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-594-S1199411313.cnf,1,7.9767513,3.2549236,-0.0,26.622444,-0.0,2.9849737,24.576847,-0.0,-0.0049063847,-0.0,29.801535,8.184796,-0.0,-0.0035300232,24.657053,21.71148
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-160-S1319960617.cnf,1,7.827239,3.1991298,-0.0,26.077152,-0.0,2.9033408,24.034584,-0.0,-0.0060625263,-0.0,29.135962,8.00597,-0.0,-0.00427696,24.12894,21.229284
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-205-S1077862415.cnf,1,8.07872,3.2912128,-0.0,26.971815,-0.0,3.0325649,24.908575,-0.0,-0.004300474,-0.0,30.215021,8.289882,-0.0,-0.0031229726,24.99723,22.012358
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-864-S1341701469.cnf,1,8.355749,3.3872159,-0.0,27.987713,-0.0,3.185613,25.914587,-0.0,-0.002800315,-0.0,31.464664,8.619672,-0.0,-0.0021404787,25.991903,22.915598
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-310-S674385057.cnf,1,7.8859234,3.218568,-0.0,26.293633,-0.0,2.9367378,24.249395,-0.0,-0.005525282,-0.0,29.406368,8.074948,-0.0,-0.003968206,24.344818,21.42478
