@relation R_data_frame
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
instances/Sat_Data/jack_instances/3sat1k.test/unif-k3-r4.26-v1000-c4260-S1582940081.cnf,1,1
instances/Sat_Data/jack_instances/7sat60.test/unif-k7-r87.79-v60-c5267-S13782316.cnf,1,1
instances/Sat_Data/jack_instances/7sat90.train/unif-k7-r85.00-v90-c7650-S1243383880.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S510876856.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.test/unif-k3-r4.26-v1000-c4260-S957847042.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.test/unif-k3-r4.26-v1000-c4260-S1182203748.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S1988294554.cnf,1,1
instances/Sat_Data/jack_instances/7sat90.train/unif-k7-r85.00-v90-c7650-S1253487680.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S506893032.cnf,1,1
instances/Sat_Data/jack_instances/swv.train/swv-calysto-itox-vc1146-satelite-ve.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.test/unif-k3-r4.26-v1000-c4260-S803330425.cnf,1,1
instances/Sat_Data/jack_instances/7sat60.test/unif-k7-r87.79-v60-c5267-S870902744.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.train/unif-k3-r4.26-v1000-c4260-S922341213.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.test/unif-k3-r4.26-v1000-c4260-S2140482229.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.train/unif-k3-r4.26-v1000-c4260-S1408672720.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S1509884656.cnf,1,1
instances/Sat_Data/jack_instances/7sat90.train/unif-k7-r85.00-v90-c7650-S1296182746.cnf,1,1
instances/Sat_Data/jack_instances/3sat1k.train/unif-k3-r4.26-v1000-c4260-S312475372.cnf,1,1
instances/Sat_Data/jack_instances/7sat60.test/unif-k7-r87.79-v60-c5267-S230858503.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S1317926983.cnf,1,1
instances/Sat_Data/jack_instances/3sat10k.test/unif-k3-r4.20-v10000-c42000-S1632723884.cnf,1,1
instances/Sat_Data/jack_instances/5sat100.train/unif-k5-r21.11-v100-c2111-S1872708300.cnf,1,1
instances/Sat_Data/jack_instances/7sat60.test/unif-k7-r87.79-v60-c5267-S1393836778.cnf,1,1
instances/Sat_Data/jack_instances/3sat10k.train/unif-k3-r4.20-v10000-c42000-S1133679396.cnf,1,1
