@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1.0,0.14,0
sat/10-4-10.cnf.bz2,1.0,0.06,0
sat/1mod8.rules.7-7.cnf.bz2,1.0,0.06,0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.3320312369996827
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.3681120389992429
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2198328989979927
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2242366610007593
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.263243733003037
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.4860620940016815
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.2272400460000199
sat/20180321_140833987_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.3301453230014886
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.4207967710008233
sat/20180322_164224543_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.3061908070012578
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2043714309984352
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.3133258109992312
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.2157155189999002
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2214200739981606
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,1.0,0.14,0.3021086029984872
sat/20180322_164245263_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2290446750012051
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2929305889992974
sat/20180326_095804286_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.3224775039998349
sat/20180326_095804936_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.2664361580009426
