@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1067.cnf,1,-0.030354185,0.0043004234,-0.0042593954,0.04682021,-0.022072297,-0.053154465,-0.03239567,0.08744952,-0.034412295,-0.045917653,-0.055501383,0.043169167,0.020674953,0.043045186,0.0029765118,-0.06367481,0.044857327,0.034562193,-0.03264587,0.011391301,-0.07587234,0.02497857,-0.009849258,-0.053087614,-0.0073632895946502,0.0100583489984273,-0.0502920635044574,-0.0011489152675494,-0.0284529030323028,-0.0228968020528554,0.1223182901740074,-0.0388188697397708,0.093127503991127,0.0263231452554464,0.0755995959043502,-0.0139704719185829,-0.0459538251161575,0.0642733126878738,0.0897149667143821,0.0338942408561706,0.0837534219026565,0.0274765957146883,0.0628519281744957,-0.0180356428027153,0.0008916778606362,-0.0550047419965267,-0.0173341799527406,0.0287856217473745
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3763.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3774.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3862.cnf,1,619716.56,642331.6,4067441.5,2124752.2,62.34831,149470.52,2689213.2,4094148.0,0.5954056,124.11617,301190.84,639168.1,315596.2,776773.7,385669.72,254996.2,2453514.0,3.9200652,95472.5,1295210.9,-0.013340165,317643.9,2280466.0,30.781923,8894.9970703125,1517598.125,1595969.625,96201.328125,4981.513671875,218444.03125,730621.25,1480132.0,233561.21875,632.8825073242188,2711876.5,1967809.125,683935.8125,3774701.25,1357681.125,842993.875,3358833.25,825553.875,685902.25,96756.1875,95722.2265625,2780925.5,344145.3125,404134.3125
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56679.cnf,1,545944240000.0,16706940000000.0,67516060000000.0,27226175000000.0,1291309.5,1800664300.0,30224553000000.0,77090020000000.0,2205.307,5362636.0,6072263000000.0,3492319000000.0,8690490000000.0,2467159300000.0,8079273000000.0,4427795700000.0,28685310000000.0,2.7953906,2450539700000.0,37859466000000.0,-0.01667438,14572842000000.0,43930460000000.0,1802.8223,3086465280.0,28441680281600.0,28299109597184.0,9259781120.0,11233843200.0,118761416.0,5298604474368.0,6371794223104.0,3730482921472.0,160846560.0,50556504637440.0,6528893452288.0,11697240670208.0,66485003223040.0,15232067960832.0,9206405005312.0,49566015553536.0,24638274928640.0,1119461179392.0,8022220.0,11182769.0,39897876398080.0,2669863763968.0,3176626913280.0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3777.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1012.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9423.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5307.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc994.cnf,1,883840450000.0,25624549000000.0,103882660000000.0,42855550000000.0,8416.466,1322957300.0,51078710000000.0,118253220000000.0,460.5449,81044616.0,10139837000000.0,9896315000000.0,14421609000000.0,6942897500000.0,12398790000000.0,7456095700000.0,44006000000000.0,1453.4803,7352268000000.0,58031970000000.0,-0.013780171,22216670000000.0,67367140000000.0,344973.75,12882.88671875,43632585342976.0,43437399212032.0,39239114752.0,673992896.0,2951507200.0,14509709197312.0,16800184008704.0,10843053883392.0,40814.859375,77535299764224.0,17620721991680.0,17924542693376.0,101968051699712.0,27980497682432.0,14083078225920.0,77317346951168.0,37773524336640.0,2636067373056.0,14905322.0,348844992.0,61213585178624.0,7455811567616.0,8899378806784.0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3760.cnf,1,44894090.0,1570780400.0,6383307300.0,2444629500.0,35.879967,3675339.2,2971390700.0,7219582500.0,273718.97,812.4225,638498900.0,314041570.0,831232960.0,212003200.0,695749760.0,307788670.0,2549277000.0,3269.171,225067060.0,3669515300.0,-0.011913566,1646406000.0,4155179800.0,1435.7823,64073.9375,2525413376.0,2482918656.0,435892.65625,4882.19189453125,2539554.0,456387392.0,556086528.0,331866304.0,2261.676025390625,4717029376.0,665093568.0,1148497920.0,6272821248.0,1369059584.0,842592192.0,4667650560.0,2351537408.0,96020312.0,831408.3125,679571.6875,3640988160.0,239317584.0,276371008.0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3504.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3501.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1131.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
