@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1.0,0.14,0
sat/10-4-10.cnf.bz2,1.0,0.06,0
sat/1mod8.rules.7-7.cnf.bz2,1.0,0.06,0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0043632984161376
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0044398307800292
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0044391155242919
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0041978359222412
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.004840612411499
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0064918994903564
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0155098438262939
sat/20180321_140833987_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0046234130859375
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0062019824981689
sat/20180322_164224543_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0041718482971191
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.004227876663208
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043256282806396
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,1.0,0.06,0.0043115615844726
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043206214904785
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,1.0,0.14,0.0044999122619628
sat/20180322_164245263_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0040788650512695
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0043621063232421
sat/20180326_095804286_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0041944980621337
sat/20180326_095804936_p_cnf_320_1120.cnf.bz2,1.0,0.05,0.0045061111450195
