@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre.featuretime NUMERIC
@ATTRIBUTE vars.clauses.ratio NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.entropy NUMERIC
@ATTRIBUTE VCG.CLAUSE.mean NUMERIC
@ATTRIBUTE VCG.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE VCG.CLAUSE.min NUMERIC
@ATTRIBUTE VCG.CLAUSE.max NUMERIC
@ATTRIBUTE VCG.CLAUSE.entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY. NUMERIC
@ATTRIBUTE TRINARY. NUMERIC
@ATTRIBUTE Basic.featuretime NUMERIC
@ATTRIBUTE VCG.VAR.mean NUMERIC
@ATTRIBUTE VCG.VAR.coeff.variation NUMERIC
@ATTRIBUTE VCG.VAR.min NUMERIC
@ATTRIBUTE VCG.VAR.max NUMERIC
@ATTRIBUTE VCG.VAR.entropy NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.stdev NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.entropy NUMERIC
@ATTRIBUTE HORNY.VAR.mean NUMERIC
@ATTRIBUTE HORNY.VAR.coeff.variation NUMERIC
@ATTRIBUTE HORNY.VAR.min NUMERIC
@ATTRIBUTE HORNY.VAR.max NUMERIC
@ATTRIBUTE HORNY.VAR.entropy NUMERIC
@ATTRIBUTE horn.clauses.fraction NUMERIC
@ATTRIBUTE VG.mean NUMERIC
@ATTRIBUTE VG.coeff.variation NUMERIC
@ATTRIBUTE VG.min NUMERIC
@ATTRIBUTE VG.max NUMERIC
@ATTRIBUTE KLB.featuretime NUMERIC
@ATTRIBUTE CG.mean NUMERIC
@ATTRIBUTE CG.coeff.variation NUMERIC
@ATTRIBUTE CG.min NUMERIC
@ATTRIBUTE CG.max NUMERIC
@ATTRIBUTE CG.entropy NUMERIC
@ATTRIBUTE cluster.coeff.mean NUMERIC
@ATTRIBUTE cluster.coeff.coeff.variation NUMERIC
@ATTRIBUTE cluster.coeff.min NUMERIC
@ATTRIBUTE cluster.coeff.max NUMERIC
@ATTRIBUTE cluster.coeff.entropy NUMERIC
@ATTRIBUTE CG.featuretime NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1.0,29772.0,922204.0,25844.0,902609.0,0.151988856,0.021709289,6.12,0.028632553,0.3591254,0.477360674,0.0,1.0,0.38316621,0.00011339,0.267347292,7.7387e-05,0.001006036,0.328468871,0.0,0.095114274,0.998514307,0.65,0.00011339,1.696284972,1.108e-06,0.001651878,2.476046355,0.13996099,0.172669043,0.0,1.0,1.769651174,0.000110294,1.736683245,0.0,0.001641907,2.238015638,0.98181937,0.000136684,2.316128099,6.647e-06,0.002459537,7.54,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sat/10-4-10.cnf.bz2,1.0,80316.0,2670467.0,68908.0,2627367.0,0.165554072,0.016404256,17.18,0.026227017,0.349916445,0.441865218,0.0,1.0,0.346316541,4.2583e-05,0.259162922,2.9024e-05,0.000507924,0.294091202,0.0,0.083219817,0.999279507,1.86,4.2583e-05,2.469653538,3.81e-07,0.001247256,2.374566438,0.104325187,0.158067397,0.0,1.0,1.607597894,4.1523e-05,2.529826353,0.0,0.001246495,2.152316417,0.981466997,5.3155e-05,3.420234261,9.135e-06,0.001982213,50.42,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sat/1mod8.rules.7-7.cnf.bz2,1.0,146804.0,957859.0,129317.0,935370.0,0.13522584,0.024042892,8.93,0.138252242,0.289773012,0.865942125,0.0,1.0,0.916420741,2.0598e-05,0.200785818,1.5466e-05,6.9596e-05,0.735445087,0.0,0.358661278,0.985377979,0.67,2.0598e-05,3.49444602,6.415e-06,0.001278638,2.231275116,0.145301557,0.124902158,0.0,0.8,2.357331918,1.2998e-05,3.451133669,3.207e-06,0.000778302,1.963549817,0.679825096,2.1976e-05,3.619572515,5.345e-06,0.00154912,175.27,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.37,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.0,0.285714286,0.511309524,0.576785068,0.333333333,1.0,0.580216017,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0.0,0.090909091,0.6393633,0.004729353,0.27129343,0.001785714,0.008035714,1.742100956,0.504464286,0.01875,0.061167774,0.017857143,0.021428571,0.0,0.014072066,0.046666511,0.013392857,0.016071429,1.058035797,0.119550945,0.042808721,0.105263158,0.125,0.750891527,0.05,0.036034647,0.9046389,0.72121197,0.31508738,-0.04852345,-0.06882527,1.4388511,0.94193286,-0.026386548,-0.05290841,0.33049807,2.53207,0.18531138,2.34173,-0.05211384,0.3693835,1.0566275,-0.04255921,1.0677116,0.46473137,-0.034929525,1.347873,0.4522875,-0.049757075,-0.043425556,0.6969255,0.23485592,1.3783987,-0.049592014,-0.007005519,7.399743,3.1434445,4.0133433,-0.04957281,0.728551,6.575432,0.7278617,1.0026618,4.3982654,0.27823275,2.3362145,0.11486538,1.2517022,-0.025478244,-0.005430012,0.42628932,2.243936,2.7580864
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.0,0.285714286,0.502380952,0.577324333,0.333333333,1.0,0.566224853,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.059285236,0.008928571,0.010714286,0.87285658,0.032954545,0.04370201,0.0,0.090909091,0.654843055,0.004762835,0.270692739,0.001785714,0.008928571,1.772900173,0.508035714,0.01875,0.059285236,0.017857143,0.021428571,0.0,0.014065689,0.047304468,0.013392857,0.016071429,1.065249586,0.119607728,0.043323711,0.105263158,0.125,0.75800848,0.05,0.0020747469,0.87907994,0.5224389,0.231127,-0.059146367,-0.07815081,0.9962171,0.73813885,-0.05423681,-0.060414623,0.33667636,2.0612133,0.16518828,1.9366255,-0.05884703,0.3953454,0.8323884,-0.04978638,0.8278364,0.44989985,-0.040657286,1.1890908,0.33084425,-0.056576617,-0.05354901,0.50042605,0.15610193,1.3983577,-0.045318343,-0.046684343,6.5824304,2.60525,3.5377152,-0.047153506,0.5965869,5.6927185,0.30587798,0.8101449,3.7914886,0.2488879,1.5841422,0.09863705,1.0557522,-0.046876695,-0.021059498,0.36844093,1.9764407,2.374591
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.02,0.285714286,0.514880952,0.576384929,0.333333333,1.0,0.585554139,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.058805186,0.008928571,0.010714286,0.868934372,0.033522727,0.043860545,0.0,0.090909091,0.658287057,0.004662388,0.296914502,0.000892857,0.008035714,1.845943735,0.497321429,0.01875,0.058805186,0.017857143,0.021428571,0.0,0.014064094,0.047877305,0.013392857,0.016071429,1.072769948,0.119625964,0.043822005,0.105263158,0.125,0.760437579,0.04,0.047083713,1.3032181,0.46188346,0.21455574,-0.05173982,-0.067656375,1.5207174,0.6963447,-0.038699184,-0.05118193,0.5272726,2.839272,0.30087638,3.1943038,-0.042748168,0.4526627,1.0646578,-0.03760473,1.0821127,0.56972325,-0.03864081,2.0462852,0.2646532,-0.04813894,-0.04601138,0.6629647,0.09697448,2.1063612,-0.040745117,-0.038667846,9.611013,4.138424,5.068476,-0.038217217,0.6623075,8.16461,0.67422235,0.6251923,5.395169,0.22270079,2.4492323,0.06615313,1.8280245,-0.033497397,-0.024425713,0.2555929,2.916105,3.6018612
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.0,0.285714286,0.49047619,0.576914739,0.333333333,1.0,0.546089317,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.0,0.090909091,0.630581028,0.0046875,0.301169301,0.000892857,0.008035714,1.859517213,0.5,0.01875,0.062087642,0.017857143,0.021428571,0.0,0.014075255,0.047111898,0.013392857,0.016071429,1.066454848,0.119530021,0.043257421,0.105263158,0.125,0.746100818,0.04,0.06644952,0.91688186,0.6765615,0.3116098,-0.056092173,-0.07215981,1.2577188,0.85612124,-0.00675431,-0.053237837,0.40009537,2.2274332,0.12983108,2.3820186,-0.045768157,0.4058548,1.1337162,-0.040695596,0.8560912,0.46256542,-0.031878617,1.2442275,0.35736638,-0.04488795,-0.04379243,0.70723695,0.17113355,1.4556047,-0.05102449,-0.023504933,7.3539076,3.0516777,3.981873,-0.055149924,0.6051521,6.538714,0.5376074,1.0326192,4.380632,0.25895533,2.3025215,0.05738623,1.3305583,-0.03774654,-0.007035368,0.45289937,2.306752,2.5144088
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.01,0.285714286,0.500595238,0.577348637,0.333333333,1.0,0.563313924,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.06023386,0.008928571,0.010714286,0.879904293,0.031818182,0.043360873,0.0,0.090909091,0.647446639,0.004503348,0.285035826,0.000892857,0.008035714,1.773645064,0.480357143,0.01875,0.06023386,0.017857143,0.021428571,0.0,0.014068878,0.047139793,0.013392857,0.016071429,1.064584538,0.119580968,0.043233434,0.105263158,0.125,0.750854886,0.03,0.038297348,1.0432674,1.1939003,0.42652202,-0.03471069,-0.06734933,1.3781507,1.5964788,4.48633e-05,-0.05344085,0.21387057,2.0515697,0.10521568,2.3653703,-0.038202085,0.24640515,1.5297911,-0.040632416,0.80017745,0.7679846,-0.035212662,1.310283,0.795482,-0.04838887,-0.035473965,1.2229999,0.49077892,1.3406447,-0.046842318,0.0008515883,6.6087737,2.7439687,3.5285058,-0.03172686,1.1901276,5.7213,0.6603595,1.6823887,4.0490656,0.45196265,2.623157,0.27124977,1.2721851,0.008091865,-0.00341141,0.8553039,2.077034,2.6033564
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.0,0.285714286,0.507738095,0.577082007,0.333333333,1.0,0.574731235,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004637277,0.274829662,0.000892857,0.008035714,1.763489352,0.494642857,0.01875,0.062542503,0.017857143,0.021428571,0.0,0.014076849,0.047521805,0.013392857,0.016071429,1.071860237,0.119520807,0.043545811,0.105263158,0.125,0.758701575,0.04,0.059977107,0.913105,0.4988299,0.20851329,-0.06238959,-0.07529234,1.0012462,0.7683452,-0.0014164267,-0.057316817,0.24639516,1.8863786,0.10173023,2.2134945,-0.050548762,0.2817711,0.8651223,-0.04703939,0.6731035,0.39576128,-0.0367598,1.1960001,0.32903177,-0.053799193,-0.05353262,0.6163641,0.17955536,1.4146354,-0.056284826,-0.015281066,6.251061,2.6142795,3.2348065,-0.05532956,0.5028653,5.416164,0.3921749,0.82522345,3.6809044,0.22892241,1.8250065,0.08511143,1.1794384,-0.0347271,-0.009144889,0.37923688,1.8881543,2.45985
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1.0,320.0,1120.0,320.0,1120.0,0.0,0.0,0.0,0.285714286,0.486904762,0.57651443,0.333333333,1.0,0.539707521,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004662388,0.273194131,0.000892857,0.008035714,1.764271536,0.497321429,0.01875,0.062542503,0.017857143,0.021428571,0.01,0.014076849,0.048642385,0.013392857,0.016071429,1.086327148,0.119531288,0.044459608,0.105263158,0.125,0.77374382,0.03,0.045019764,0.87891626,0.95841897,0.36527577,-0.053285874,-0.06764333,1.5903897,1.3275146,0.0061055357,-0.052776687,0.54053366,2.452722,0.2291533,2.7163403,-0.048896044,0.35737503,1.4477392,-0.04266832,0.9420573,0.7889515,-0.0386063,1.48909,0.7537731,-0.05024723,-0.045371555,1.0965197,0.4216445,1.510201,-0.050344694,-0.025625277,8.415525,3.652507,4.7072797,-0.039496265,0.9030941,7.2273893,0.7777469,1.5021851,4.8656244,0.36834922,2.8913033,0.20271257,1.6363294,-0.04620079,0.002395949,0.78372777,2.9089801,2.5663686
