@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/LABS/LABS_n011_goal004.cnf,1.0,0.0,0.0,0.0,0.01,2.13,2.42,2.0,0.0027773380279541
instances/Sat_Data/LABS/LABS_n011_goal010.cnf,1.0,0.0,0.0,0.0,0.01,2.12,2.37,2.0,0.0001137256622314
instances/Sat_Data/LABS/LABS_n012_goal001.cnf,1.0,0.0,0.0,0.01,0.02,2.11,2.36,2.0,0.0016672611236572
instances/Sat_Data/LABS/LABS_n013_goal002.cnf,1.0,0.0,0.0,0.0,0.02,2.09,2.34,2.0,0.0029046535491943
instances/Sat_Data/LABS/LABS_n015_goal008.cnf,1.0,0.0,0.0,0.0,0.03,2.09,2.29,2.0,0.0016877651214599
instances/Sat_Data/LABS/LABS_n018_goal001.cnf,1.0,0.0,0.0,0.1,0.07,2.06,2.3,2.0,0.0024161338806152
instances/Sat_Data/LABS/LABS_n019_goal002.cnf,1.0,0.0,0.0,1.06,0.09,2.05,2.27,2.0,0.0025382041931152
instances/Sat_Data/LABS/LABS_n019_goal005.cnf,1.0,0.0,0.0,0.01,0.08,2.06,2.26,2.0,0.0018701553344726
instances/Sat_Data/LABS/LABS_n019_goal006.cnf,1.0,0.0,0.0,0.01,0.08,2.05,2.24,2.0,0.0026357173919677
instances/Sat_Data/LABS/LABS_n020_goal002.cnf,1.0,0.0,0.0,0.09,0.11,2.05,2.3,2.0,0.0016798973083496
instances/Sat_Data/LABS/LABS_n020_goal005.cnf,1.0,0.0,0.0,0.01,0.1,2.05,2.27,2.0,0.0016515254974365
instances/Sat_Data/LABS/LABS_n020_goal008.cnf,1.0,0.0,0.0,0.01,0.09,2.04,2.28,2.0,0.0027859210968017
instances/Sat_Data/LABS/LABS_n021_goal001.cnf,1.0,0.0,0.0,0.38,0.13,2.05,2.26,2.0,0.0021750926971435
instances/Sat_Data/LABS/LABS_n021_goal009.cnf,1.0,0.0,0.0,0.01,0.1,2.04,2.23,2.0,0.0019621849060058
instances/Sat_Data/LABS/LABS_n022_goal002.cnf,1.0,0.01,0.0,1.99,0.13,2.06,2.26,2.0,0.0017120838165283
instances/Sat_Data/LABS/LABS_n022_goal008.cnf,1.0,0.0,0.01,0.01,0.11,2.05,2.23,2.0,0.0023941993713378
instances/Sat_Data/LABS/LABS_n023_goal001.cnf,1.0,0.01,0.0,0.81,0.15,2.05,2.23,2.0,0.0015993118286132
instances/Sat_Data/LABS/LABS_n023_goal008.cnf,1.0,0.0,0.01,0.02,0.13,2.04,2.23,2.0,0.0019068717956542
instances/Sat_Data/LABS/LABS_n024_goal007.cnf,1.0,0.01,0.0,0.02,0.16,2.03,2.21,2.0,0.0020442008972167
instances/Sat_Data/LABS/LABS_n025_goal009.cnf,1.0,0.01,0.0,0.02,0.18,2.04,2.2,2.0,0.0019190311431884
instances/Sat_Data/LABS/LABS_n025_goal010.cnf,1.0,0.01,0.0,0.02,0.16,2.05,2.23,2.0,0.0020060539245605
instances/Sat_Data/LABS/LABS_n026_goal001.cnf,1.0,0.01,0.0,1.99,0.23,2.04,2.23,2.0,0.0021719932556152
instances/Sat_Data/LABS/LABS_n026_goal004.cnf,1.0,0.01,0.0,0.03,0.22,2.04,2.24,2.0,0.0025749206542968
instances/Sat_Data/LABS/LABS_n026_goal010.cnf,1.0,0.01,0.0,0.02,0.2,2.04,2.24,2.0,0.0021729469299316
instances/Sat_Data/LABS/LABS_n027_goal001.cnf,1.0,0.01,0.0,1.99,0.27,2.05,2.19,2.0,0.0020110607147216
instances/Sat_Data/LABS/LABS_n028_goal002.cnf,1.0,0.01,0.01,1.99,0.29,2.03,2.21,2.0,0.002148151397705
instances/Sat_Data/LABS/LABS_n029_goal006.cnf,1.0,0.02,0.0,0.03,0.3,2.04,2.18,2.0,0.0025744438171386
instances/Sat_Data/LABS/LABS_n030_goal003.cnf,1.0,0.02,0.0,1.99,0.36,2.04,2.15,2.0,0.0029830932617187
instances/Sat_Data/LABS/LABS_n030_goal008.cnf,1.0,0.02,0.0,0.04,0.33,2.04,2.17,2.0,0.0027732849121093
instances/Sat_Data/LABS/LABS_n031_goal003.cnf,1.0,0.02,0.0,1.99,0.4,2.04,2.17,2.0,0.0025615692138671
instances/Sat_Data/LABS/LABS_n031_goal010.cnf,1.0,0.02,0.0,0.05,0.35,2.04,2.14,2.0,0.002882957458496
instances/Sat_Data/LABS/LABS_n032_goal001.cnf,1.0,0.02,0.01,1.99,0.43,2.05,2.12,2.0,0.0030481815338134
instances/Sat_Data/LABS/LABS_n033_goal006.cnf,1.0,0.02,0.01,0.06,0.47,2.05,2.13,2.0,0.0033690929412841
instances/Sat_Data/LABS/LABS_n034_goal003.cnf,1.0,0.03,0.0,1.99,0.52,2.04,2.09,2.0,0.0035138130187988
instances/Sat_Data/LABS/LABS_n034_goal008.cnf,1.0,0.03,0.0,0.05,0.51,2.05,2.13,2.0,0.0035605430603027
instances/Sat_Data/LABS/LABS_n035_goal001.cnf,1.0,0.03,0.01,2.0,0.57,2.04,2.1,2.0,0.0037100315093994
instances/Sat_Data/LABS/LABS_n035_goal002.cnf,1.0,0.03,0.01,1.99,0.57,2.05,2.09,2.0,0.0034873485565185
instances/Sat_Data/LABS/LABS_n036_goal003.cnf,1.0,0.04,0.0,2.0,0.62,2.04,2.09,2.0,0.0039985179901123
instances/Sat_Data/LABS/LABS_n036_goal010.cnf,1.0,0.03,0.01,0.07,0.59,2.05,2.08,2.0,0.0040469169616699
instances/Sat_Data/LABS/LABS_n038_goal001.cnf,1.0,0.04,0.01,2.0,0.73,2.04,2.08,2.0,0.0043892860412597
instances/Sat_Data/LABS/LABS_n038_goal002.cnf,1.0,0.04,0.01,1.99,0.73,2.04,2.09,2.0,0.0044095516204833
instances/Sat_Data/LABS/LABS_n038_goal008.cnf,1.0,0.04,0.01,0.08,0.71,2.05,2.09,2.0,0.004652976989746
instances/Sat_Data/LABS/LABS_n039_goal001.cnf,1.0,0.05,0.0,2.0,0.79,2.07,2.09,2.0,0.0047001838684082
instances/Sat_Data/LABS/LABS_n040_goal006.cnf,1.0,0.05,0.01,0.11,0.84,2.06,2.1,2.0,0.0052168369293212
instances/Sat_Data/LABS/LABS_n040_goal010.cnf,1.0,0.04,0.01,0.09,0.82,2.06,2.08,2.0,0.0052733421325683
instances/Sat_Data/LABS/LABS_n042_goal002.cnf,1.0,0.06,0.0,1.99,0.99,2.07,2.09,2.0,0.0058743953704833
instances/Sat_Data/LABS/LABS_n042_goal010.cnf,1.0,0.05,0.01,0.12,0.94,2.07,2.08,2.0,0.0062854290008544
