@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1067.cnf,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.32,0.29,0.0,0.01,0.0014021396636962
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3763.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3774.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1.0,0.8,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3862.cnf,1.0,3.1,0.02,2.28,60.06,2.01,2.0,2.43,2.2,2.4,2.0,68.95,0.4,0.0057947635650634
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56679.cnf,1.0,2.58,0.02,1.36,60.02,2.01,1.26,2.29,2.16,2.32,2.0,66.22,0.15,0.0052981376647949
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3777.cnf,1.0,0.4,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1012.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?,0.000115156173706
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9423.cnf,1.0,0.85,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5307.cnf,1.0,3.28,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc994.cnf,1.0,4.65,0.05,3.59,61.46,2.01,2.0,2.5,2.24,2.3,2.0,64.99,1.34,0.0085535049438476
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3760.cnf,1.0,3.02,0.07,8.98,60.08,2.01,1.99,2.78,2.36,2.41,2.03,61.13,0.17,0.0090408325195312
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3504.cnf,1.0,0.02,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3501.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1131.cnf,1.0,0.02,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?,4.434585571289063e-05
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9454.cnf,1.0,1.17,0.01,0.0,9.62,0.23,0.02,0.14,2.11,2.29,2.0,60.32,0.08,0.0015475749969482
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3903.cnf,1.0,2.53,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3841.cnf,1.0,3.06,0.03,2.22,60.05,2.01,2.0,2.4,2.2,2.34,2.0,68.52,0.21,0.0057442188262939
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3695.cnf,1.0,1.47,0.03,0.79,60.03,2.01,2.0,2.23,2.12,2.39,2.0,95.45,0.28,0.0038912296295166
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3958.cnf,1.0,3.61,0.05,2.33,60.1,2.01,1.99,2.48,2.19,2.38,2.01,68.14,0.33,0.0055372714996337
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1032.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1262.cnf,1.0,5.94,0.05,5.52,60.03,2.02,2.0,2.79,2.33,2.36,2.01,62.74,1.36,0.0100219249725341
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9443.cnf,1.0,0.08,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1088.cnf,1.0,2.41,0.03,1.62,60.23,2.01,2.0,2.43,2.22,2.28,2.0,63.78,0.91,0.0054242610931396
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9396.cnf,1.0,0.08,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5531.cnf,1.0,3.05,0.01,0.11,61.6,2.01,0.18,2.24,2.13,2.18,2.0,74.68,1.39,0.0035693645477294
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3634.cnf,1.0,0.5,0.01,0.01,28.37,0.6,0.04,0.29,2.13,2.54,2.0,60.86,0.27,0.0023057460784912
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc1093.cnf,1.0,2.24,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3872.cnf,1.0,2.26,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3773.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3685.cnf,1.0,1.15,0.01,0.19,60.05,2.01,0.28,1.99,2.1,2.33,2.0,71.82,0.39,0.0030689239501953
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3948.cnf,1.0,3.39,0.03,2.33,60.09,2.01,1.99,2.49,2.2,2.37,2.0,68.82,0.34,0.0055773258209228
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc888.cnf,1.0,0.01,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?,4.792213439941406e-05
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9474.cnf,1.0,1.15,0.01,0.01,10.5,0.24,0.03,0.16,2.17,2.28,2.0,60.38,0.1,0.0015590190887451
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc909.cnf,1.0,4.48,0.04,3.28,60.97,2.01,2.0,2.6,2.25,2.33,2.01,64.83,0.11,0.0079705715179443
